epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.659,3.21862,3.91643,4.1421,0.00373,0.80822,0.25587,0.08704,2.77418,4.22074,4.02433,0.000464715,0.000464715,0.000464715
2,371.455,2.88293,3.51037,3.75194,0.01088,0.81507,0.05061,0.01657,2.59236,3.77503,3.68207,0.000931732,0.000931732,0.000931732
3,557.188,2.2261,2.94156,3.02655,0.36219,0.34247,0.2584,0.07708,1.72252,4.23478,2.77311,0.00138932,0.00138932,0.00138932
4,743.169,1.78937,2.35885,2.49235,0.71727,0.67123,0.76585,0.43379,1.72246,5.51802,3.5362,0.00138656,0.00138656,0.00138656
5,929.075,1.29785,1.71547,2.0653,0.90326,0.63955,0.73976,0.55066,1.29857,2.81154,2.09542,0.00137241,0.00137241,0.00137241
6,1114.8,1.03958,1.31629,1.81619,0.767,0.78082,0.79521,0.5859,1.02305,3.29622,1.75243,0.00135826,0.00135826,0.00135826
7,1300.32,0.93017,1.17208,1.63868,0.9646,0.74652,0.84962,0.70734,0.74898,1.99334,1.34419,0.00134412,0.00134412,0.00134412
8,1484.47,0.77698,0.95066,1.48315,0.92101,0.83562,0.9233,0.79558,0.67759,1.10131,1.17035,0.00132997,0.00132997,0.00132997
9,1668.57,0.74694,0.89711,1.40171,0.93448,0.97945,0.978,0.85423,0.61095,0.9242,1.13987,0.00131582,0.00131582,0.00131582
10,1853.1,0.68453,0.82479,1.34882,0.97546,0.8169,0.95458,0.88571,0.44831,1.01723,1.00926,0.00130168,0.00130168,0.00130168
11,2037.55,0.63129,0.77245,1.30481,0.9492,0.86301,0.96492,0.84569,0.58648,0.84339,1.07678,0.00128753,0.00128753,0.00128753
12,2222.35,0.56715,0.72614,1.23356,0.93861,0.91781,0.97767,0.90014,0.47788,0.73053,1.01945,0.00127338,0.00127338,0.00127338
13,2407.3,0.54659,0.68744,1.20071,0.92727,0.88356,0.96867,0.87189,0.53379,0.86708,1.0196,0.00125923,0.00125923,0.00125923
14,2592.03,0.52661,0.63513,1.16268,0.96254,0.87989,0.96734,0.92056,0.39215,0.87803,0.91282,0.00124509,0.00124509,0.00124509
15,2776.4,0.48596,0.57647,1.1413,0.95173,0.94528,0.98369,0.94052,0.37463,0.58046,0.9063,0.00123094,0.00123094,0.00123094
16,2961.53,0.49559,0.58003,1.11697,0.94948,0.94521,0.98534,0.95037,0.34261,0.53055,0.88339,0.00121679,0.00121679,0.00121679
17,3146.72,0.45335,0.54313,1.09743,0.96289,0.8887,0.9685,0.93043,0.3657,0.53782,0.89617,0.00120265,0.00120265,0.00120265
18,3333.31,0.44197,0.51668,1.0802,0.96431,0.92466,0.98148,0.92474,0.35438,0.52508,0.89137,0.0011885,0.0011885,0.0011885
19,3518.05,0.44782,0.50645,1.08563,0.93648,0.9863,0.98642,0.94079,0.35672,0.5016,0.89699,0.00117435,0.00117435,0.00117435
20,3703.1,0.41473,0.47659,1.06245,0.97193,0.94871,0.98237,0.94492,0.31361,0.5119,0.8573,0.00116021,0.00116021,0.00116021
21,3888.72,0.40067,0.45878,1.03661,0.96149,0.95205,0.98764,0.96009,0.32429,0.47996,0.85506,0.00114606,0.00114606,0.00114606
22,4074.32,0.40276,0.46451,1.05357,0.97995,0.99315,0.99473,0.95563,0.32743,0.4379,0.85318,0.00113191,0.00113191,0.00113191
23,4260.09,0.40637,0.44438,1.03782,0.96407,0.91879,0.98228,0.95253,0.2946,0.46016,0.84735,0.00111776,0.00111776,0.00111776
24,4445.69,0.39639,0.44562,1.0353,0.98566,0.9726,0.99357,0.94536,0.33453,0.41871,0.87684,0.00110362,0.00110362,0.00110362
25,4631.45,0.38097,0.43819,1.02701,0.97926,0.97945,0.99352,0.96602,0.27937,0.35471,0.83739,0.00108947,0.00108947,0.00108947
26,4817.43,0.3809,0.42297,1.02529,1,0.97938,0.99453,0.97649,0.2448,0.33019,0.8268,0.00107532,0.00107532,0.00107532
27,5003.38,0.38125,0.42133,1.01625,0.99325,0.82877,0.96751,0.94495,0.3034,0.42333,0.87052,0.00106118,0.00106118,0.00106118
28,5188.91,0.37204,0.39924,1.02314,0.97932,0.97321,0.99295,0.97809,0.27021,0.38793,0.82799,0.00104703,0.00104703,0.00104703
29,5374.35,0.34739,0.4047,1.0103,0.99631,0.95205,0.99038,0.96584,0.28701,0.42246,0.84737,0.00103288,0.00103288,0.00103288
30,5560.11,0.35687,0.39383,0.99855,0.99231,0.88346,0.97607,0.92726,0.33548,0.46706,0.84924,0.00101873,0.00101873,0.00101873
31,5745.57,0.35828,0.40087,0.99594,1,0.89969,0.98373,0.95475,0.34079,0.40769,0.88497,0.00100459,0.00100459,0.00100459
32,5931.2,0.34328,0.38171,0.98664,0.99299,0.97066,0.99428,0.97708,0.27158,0.33046,0.83612,0.00099044,0.00099044,0.00099044
33,6117.31,0.33739,0.38876,0.98593,0.99463,0.96575,0.99401,0.9797,0.24595,0.35459,0.81563,0.000976293,0.000976293,0.000976293
